Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Clear and Present Danger","Lower Sunnyside (aka The Billboard) > Sunnyside > Main Wall - Middle Tier North End > Main Wall > McLoughlin Canyon (Tonasket) > Okanogan > Washington",https://www.mountainproject.com/route/123150748/clear-and-present-danger,2.0,-1,Sport,5.10b,1,90,48.64922,-119.4408
"Indian Summer","Upper Sunnyside > Sunnyside > Main Wall - Middle Tier North End > Main Wall > McLoughlin Canyon (Tonasket) > Okanogan > Washington",https://www.mountainproject.com/route/123219517/indian-summer,2.0,-1,Sport,5.8,1,50,48.64917,-119.44087
"Waiting For Columbus","Upper Sunnyside > Sunnyside > Main Wall - Middle Tier North End > Main Wall > McLoughlin Canyon (Tonasket) > Okanogan > Washington",https://www.mountainproject.com/route/123219432/waiting-for-columbus,2.0,-1,Sport,5.9,1,40,48.64917,-119.44087
"The Hueco Kid","Upper Sunnyside > Sunnyside > Main Wall - Middle Tier North End > Main Wall > McLoughlin Canyon (Tonasket) > Okanogan > Washington",https://www.mountainproject.com/route/123310705/the-hueco-kid,2.0,-1,Sport,5.9,1,40,48.64917,-119.44087
"Enemy of the State","NW End - Honeycomb and Anarchy Walls > Last Wall > McLoughlin Canyon (Tonasket) > Okanogan > Washington",https://www.mountainproject.com/route/108680798/enemy-of-the-state,1.7,-1,Sport,5.4,1,80,48.642,-119.44772
Mariposa,"NW End - Honeycomb and Anarchy Walls > Last Wall > McLoughlin Canyon (Tonasket) > Okanogan > Washington",https://www.mountainproject.com/route/108617935/mariposa,2.3,-1,Sport,5.7,1,85,48.642,-119.44772
"The Purple Sage","NW End - Honeycomb and Anarchy Walls > Last Wall > McLoughlin Canyon (Tonasket) > Okanogan > Washington",https://www.mountainproject.com/route/108664685/the-purple-sage,3.2,-1,Sport,5.8,1,95,48.642,-119.44772
"The Purple Rose","NW End - Honeycomb and Anarchy Walls > Last Wall > McLoughlin Canyon (Tonasket) > Okanogan > Washington",https://www.mountainproject.com/route/108664751/the-purple-rose,2.8,-1,Sport,5.8,1,100,48.642,-119.44772
"The 12th Man","NW End - Honeycomb and Anarchy Walls > Last Wall > McLoughlin Canyon (Tonasket) > Okanogan > Washington",https://www.mountainproject.com/route/108668288/the-12th-man,1.5,-1,Sport,5.9,1,60,48.642,-119.44772
Neverland,"NW End - Honeycomb and Anarchy Walls > Last Wall > McLoughlin Canyon (Tonasket) > Okanogan > Washington",https://www.mountainproject.com/route/110397398/neverland,2.5,-1,Sport,5.9,1,180,48.642,-119.44772
